aaron	a: r O n
köstuðu	k_h 9 s t Y D Y
kötlu	k_h 9 h t l Y
kötlum	k_h 9 h t l Y m
köttinn	k_h 9 h t I n
kött	k_h 9 h t
köttum	k_h 9 h t Y m
kötturinn	k_h 9 h t Y r I n
köttur	k_h 9 h t Y r
labbaði	l a p a D I
labbað	l a p a D
labba	l a p a
labbandi	l a p a n t I
labbar	l a p a r
labbitúr	l a p I t_h u r
labb	l a p
label	l ei: p E l
labour	l ei: p 9 r
labs	l a p s
lack	l a h k
laden	l ei: t E n
ladens	l a: t E n s
ladies	l ei: t i s
lady	l ei: t i
laða	l a: D a
laðar	l a: D a r
lagaatriði	l a: G a a t r I D I
lagaákvæða	l a: G a au k_h v ai D a
lagaákvæði	l a: G a au k_h v ai D I
lagaákvæðum	l a: G a au k_h v ai D Y m
lagabreytinga	l a: G a p r ei t i N k a
lagabreytingar	l a: G a p r ei t i N k a r
lagabreytingu	l a: G a p r ei t i N k Y
lagabreytingum	l a: G a p r ei t i N k Y m
lagadeildar	l a: G a t ei l t a r
lagadeild	l a: G a t ei l t
lagaði	l a: G a D I
lagað	l a: G a D
lagafrumvarpi	l a: G a f r Y m v a r_0 p I
lagafrumvarp	l a: G a f r Y m v a r_0 p
lagafrumvörp	l a: G a f r Y m v 9 r_0 p
lagagildi	l a: G a c I l t I
lagagreinar	l a: G a k r ei n a r
lagagrein	l a: G a k r ei n
lagaheimildir	l a: G a h ei m I l t I r
lagaheimild	l a: G a h ei m I l t
laga	l a: G a
lagalega	l a: G a l E G a
lagalegar	l a: G a l E G a r
lagaleg	l a: G a l E G
lagalegu	l a: G a l E G Y
lagalegum	l a: G a l E G Y m
laganema	l a: G a n E m a
laganna	l a: G a n a
lagaprófessor	l a: G a p_h r ou f E s O r
lagaramma	l a: G a r a m a
lagarfljóti	l a: G a r f l j ou t I
lagarfljót	l a: G a r f l j ou t
lagarfoss	l a: G a r_0 f O s
lagarök	l a: G a r 9 k
lagasetningar	l a: G a s E h t n i N k a r
lagasetning	l a: G a s E h t n i N k
lagasetningu	l a: G a s E h t n i N k Y
lagaskilyrði	l a: G a s c I l I r D I
lagast	l a: G a s t
lagastoð	l a: G a s t O D
lagaumhverfi	l a: G a Y m k_h v E r v I
lagðar	l a G D a r
lagðir	l a G D I r
lagðist	l a G D I s t
lagður	l a G D Y r
lager	l a: G E r
lagfæra	l a x f ai r a
lagfæringar	l a x f ai r i N k a r
lagfært	l a x f ai r_0 t
laggirnar	l a c I r t n a r
lagg	l a k
laggott	l a k O h t
lagið	l ai j I D
lagi	l ai j I
laginn	l ai j I n
laginu	l ai j I n Y
lag	l a: G
laglega	l a G l E G a
laglegu	l a G l E G Y
lagning	l a k n i N k
lagningu	l a k n i N k Y
lagnir	l a k n I r
lagsins	l a x s I n s
lags	l a x s
lagst	l a x s t
lagt	l a x t
l	ai:
lakara	l a: k a r a
lakari	l a: k a r I
lake	l ei: k
lakers	l ei: c_h E r_0 s
lakkið	l a h c I D
lakki	l a h c I
lakk	l a h k
lakkmyndir	l a h k m I n t I r
lakkrís	l a h k r i s
lak	l a: k
lalla	l a t l a
lalli	l a t l I
lamaðist	l a: m a D I s t
lama	l a: m a
lambahryggur	l a m p a r_0 I k Y r
lambakjöti	l a m p a c_h 9 t I
lambakjöt	l a m p a c_h 9 t
lambalæri	l a m p a l ai r I
lambalærissneiðar	l a m p a l ai r I s t n ei D a r
lambert	l a m p E r_0 t
lambið	l a m p I D
lamb	l a m p
lambsull	l a m p s Y t l_0
lamið	l a: m I D
lampa	l a m_0 p a
lampann	l a m_0 p a n
lampanum	l a m_0 p a n Y m
lampard	l a m_0 p a r t
lampinn	l a m_0 p I n
lancet	l a n s E t
landaði	l a n t a D I
landað	l a n t a D
landafræði	l a n t a f r ai D I
landakirkju	l a n t a c_h I r_0 c Y
landakoti	l a n t a k_h O t I
landakotsskóla	l a n t a k_h O t s k ou l a
landakotsspítala	l a n t a k_h O t s p i t a l a
landa	l a n t a
landamerki	l a n t a m E r_0 c I
landamerkjabréfi	l a n t a m E r_0 c a p r j E v I
landamerkjabréf	l a n t a m E r_0 c a p r j E v
landamerkjum	l a n t a m E r_0 c Y m
landamæra	l a n t a m ai r a
landamæri	l a n t a m ai r I
landamærin	l a n t a m ai r I n
landamærum	l a n t a m ai r Y m
landamærunum	l a n t a m ai r O n Y m
landans	l a n t a n s
landareign	l a n t a r ei k n_0
landar	l a n t a r
landbúnaðarafurða	l a n t p u n a D a r a f Y r D a
landbúnaðarafurðir	l a n t p u n a D a r a v Y r D I r
landbúnaðarafurðum	l a n t p u n a D a r a v Y r D Y m
landbúnaðarháskóla	l a n t p u n a D a r_0 h au s k ou l a
landbúnaðarins	l a n t p u n a D a r I n s
landbúnaðar	l a n t p u n a D a r
landbúnaðarmál	l a n t p u n a D a r m au l
landbúnaðarmálum	l a n t p u n a D a r m au l Y m
landbúnaðarnefndar	l a n t p u n a D a r n E m t a r
landbúnaðarnefnd	l a n t p u n a D a r n E m t
landbúnaðarráðherra	l a n t p u n a D a r au T h E r a
landbúnaðarráðuneytið	l a n t p u n a D a r au D Y n ei t I D
landbúnaðarráðuneytinu	l a n t p u n a D a r au D Y n ei t I n Y
landbúnaðarráðuneytisins	l a n t p u n a D a r au D Y n ei t I s I n s
landbúnaðarstofnunin	l a n t p u n a D a r s t O p n Y n I n
landbúnaðartækni	l a n t p u n a D a r_0 t_h ai h k n I
landbúnaðarvara	l a n t p u n a D a r v a r a
landbúnaðarvörum	l a n t p u n a D a r v 9 r Y m
landbúnaðarvörur	l a n t p u n a D a r v 9 r Y r
landbúnaði	l a n t p u n a D I
landbúnaðinn	l a n t p u n a D I n
landbúnaðinum	l a n t p u n a D I n Y m
landbúnað	l a n t p u n a D
landbúnaðurinn	l a n t p u n a D Y r I n
landbúnaður	l a n t p u n a D Y r
landeiganda	l a n t ei G a n t a
landeigandi	l a n t ei G a n t I
landeigenda	l a n t ei G E n t a
landeigendum	l a n t ei G E n t Y m
landeigendur	l a n t ei G E n t Y r
landeyjahafnar	l a n t ei j a h a p n a r
landeyjahöfn	l a n t ei j a h 9 p n_0
landeyjum	l a n t ei j Y m
landflótta	l a n t f l ou h t a
landfógetabústaður	l a n t f ou c E t a p u s t a D Y r
landfógeta	l a n t f ou c E t a
landfógeti	l a n t f ou c E t I
landfræðilega	l a n t f r ai D I l E G a
landfræðingur	l a n t f r ai D i N k Y r
landganginn	l a n t k au J c I n
landgræðslan	l a n t k r ai D s t l a n
landgræðslu	l a n t k r ai D s t l Y
landgræðslunnar	l a n t k r ai D s t l Y n a r
landhelgi	l a n t h E l c I
landhelginnar	l a n t h E l c I n a r
landhelgisgæslan	l a n t h E l c I s c ai s t l a n
landhelgisgæslu	l a n t h E l c I s c ai s t l Y
landhelgisgæsluna	l a n t h E l c I s c ai s t l Y n a
landhelgisgæslunnar	l a n t h E l c I s c ai s t l Y n a r
landið	l a n t I D
landi	l a n t I
landinn	l a n t I n
landinu	l a n t I n Y
land	l a n t
landlækni	l a n t l ai h k n I
landlæknir	l a n t l ai h k n I r
landlæknisembættið	l a n t l ai h k n I s E m p ai h t I D
landlæknisembættinu	l a n t l ai h k n I s E m p ai h t I n Y
landlæknisembættisins	l a n t l ai h k n I s E m p ai h t I s I n s
landlæknis	l a n t l ai h k n I s
landmælinga	l a n t m ai l i N k a
landmælingar	l a n t m ai l i N k a r
landnámi	l a n t n au m I
landnám	l a n t n au m
landnotkun	l a n t n O t k Y n
landnýtingarverkefnið	l a n t n i t i N k a r v E r_0 k E p n I D
landnýtingu	l a n t n i t i N k Y
landotrum	l a n t O t r Y m
landráð	l a n t r au D
landsamtaka	l a n t s a m t_h a k a
landsbankadeildinni	l a n t s p au N_0 k a t ei l t I n I
landsbankadeild	l a n t s p au N_0 k a t ei l t
landsbanka	l a n t s p au N_0 k a
landsbankann	l a n t s p au N_0 k a n
landsbankans	l a n t s p au N_0 k a n s
landsbankanum	l a n t s p au N_0 k a n Y m
landsbanki	l a n t s p au J_0 c I
landsbankinn	l a n t s p au J_0 c I n
landsbjargar	l a n t s p j a r k a r
landsbjörg	l a n t s p j 9 r k
landsbjörgu	l a n t s p j 9 r k Y
landsbókasafni	l a n t s p ou k a s a p n I
landsbókasafn	l a n t s p ou k a s a p n_0
landsbréf	l a n t s p r j E f
landsbyggðarinnar	l a n t s p I G D a r I n a r
landsbyggðar	l a n t s p I G D a r
landsbyggðina	l a n t s p I G D I n a
landsbyggðin	l a n t s p I G D I n
landsbyggðinni	l a n t s p I G D I n I
landsbyggð	l a n t s p I G D
landscape	l a n t s k ei p
landsdómi	l a n t s t ou m I
landsdóm	l a n t s t ou m
landsdómur	l a n t s t ou m Y r
landsfjórðungum	l a n t s f j ou r D u N k Y m
landsframleiðsla	l a n t s f r a m l ei D s t l a
landsframleiðslu	l a n t s f r a m l ei D s t l Y
landsfundar	l a n t s f Y n t a r
landsfundi	l a n t s f Y n t I
landsfund	l a n t s f Y n t
landsfundur	l a n t s f Y n t Y r
landshluta	l a n t s l_0 Y t a
landshlutanum	l a n t s l_0 Y t a n Y m
landshlutum	l a n t s l_0 Y t Y m
landshöfðingjans	l a n t s h 9 v D i J c a n s
landsins	l a n t s I n s
landskjörstjórn	l a n t s c_h 9 r_0 s t j ou r t n_0
landslagið	l a n t s t l ai j I D
landslagi	l a n t s t l ai j I
landslaginu	l a n t s t l ai j I n Y
landslag	l a n t s t l a G
landslagsheildir	l a n t s t l a x s h ei l t I r
landslags	l a n t s t l a x s
landslagsmálverkið	l a n t s t l a x s m au l v E r_0 c I D
landslagsmyndir	l a n t s t l a x s m I n t I r
lands	l a n t s
landsleiki	l a n t s t l ei c I
landsleikir	l a n t s t l ei c I r
landsleikjum	l a n t s t l ei c Y m
landsleik	l a n t s t l ei k
landsleikur	l a n t s t l ei k Y r
landsliða	l a n t s t l I D a
landsliðið	l a n t s t l I D I D
landsliði	l a n t s t l I D I
landsliðinu	l a n t s t l I D I n Y
landslið	l a n t s t l I D
landsliðsflokki	l a n t s t l I D s f l O h c I
landsliðsfyrirliði	l a n t s t l I D s f I r I r l I D I
landsliðsfyrirliðinn	l a n t s t l I D s f I r I r l I D I n
landsliðshópinn	l a n t s t l I D s h ou p I n
landsliðshóp	l a n t s t l I D s h ou p
landsliðshópnum	l a n t s t l I D s h ou h p n Y m
landsliðsins	l a n t s t l I D s I n s
landsliðskona	l a n t s t l I D s k_h O n a
landsliðskonan	l a n t s t l I D s k_h O n a n
landsliðs	l a n t s t l I D s
landsliðsmaðurinn	l a n t s t l I D s m a D Y r I n
landsliðsmaður	l a n t s t l I D s m a D Y r
landsliðsmanninn	l a n t s t l I D s m a n I n
landsliðsmanninum	l a n t s t l I D s m a n I n Y m
landsliðsmarkvörðurinn	l a n t s t l I D s m a r_0 k v 9 r D Y r I n
landsliðsmarkvörður	l a n t s t l I D s m a r_0 k_h v 9 r D Y r
landsliðsmennirnir	l a n t s t l I D s m E n I r t n I r
landsliðsmenn	l a n t s t l I D s m E n
landsliðsmiðherjinn	l a n t s t l I D s m I T h E r j I n
landsliðsþjálfara	l a n t s t l I D s T j au l v a r a
landsliðsþjálfari	l a n t s t l I D s T j au l v a r I
landsliðsþjálfarinn	l a n t s t l I D s T j au l v a r I n
landsliðum	l a n t s t l I D Y m
landslög	l a n t s t l 9 G
landslögum	l a n t s t l 9 G Y m
landsmanna	l a n t s m a n a
landsmenn	l a n t s m E n
landsmóti	l a n t s m ou t I
landsmótinu	l a n t s m ou t I n Y
landsmót	l a n t s m ou t
landsmönnum	l a n t s m 9 n Y m
landsneti	l a n t s t n E t I
landsnet	l a n t s t n E t
landsnets	l a n t s t n E t s
landspítala	l a n t s p i t a l a
landspítalann	l a n t s p i t a l a n
landspítalans	l a n t s p i t a l a n s
landspítalanum	l a n t s p i t a l a n Y m
landspítali	l a n t s p i t a l I
landspítalinn	l a n t s p i t a l I n
landsréttar	l a n t s r j E h t a r
landsrétti	l a n t s r j E h t I
landsrétt	l a n t s r j E h t
landsréttur	l a n t s r j E h t Y r
landssambandi	l a n t s a m p a n t I
landssamband	l a n t s a m p a n t
landssambands	l a n t s a m p a n t s
landssamtaka	l a n t s a m t_h a k a
landssamtökin	l a n t s a m t_h 9 c I n
landssamtök	l a n t s a m t_h 9 k
landssíma	l a n t s i m a
landssímans	l a n t s i m a n s
landssímanum	l a n t s i m a n Y m
landssíminn	l a n t s i m I n
landssvæði	l a n t s v ai D I
landsteinana	l a n t s t ei n a n a
landsútvarp	l a n t s u t v a r_0 p
landsvaka	l a n t s v a k a
landsvala	l a n t s v a l a
landsvirkjunar	l a n t s v I r_0 c Y n a r
landsvirkjun	l a n t s v I r_0 c Y n
landsvísu	l a n t s v i s Y
landsvæða	l a n t s v ai D a
landsvæðið	l a n t s v ai D I D
landsvæði	l a n t s v ai D I
landsvæðum	l a n t s v ai D Y m
landverndar	l a n t v E r n t a r
landvernd	l a n t v E r n t
lane	l ei: n
langadal	l au N k a t a l
langaði	l au N k a D I
langað	l au N k a D
langafa	l au N k a v a
langafi	l au N k a v I
langa	l au N k a
langalgengasta	l au N k a l c ei N k a s t a
langalöngu	l au N k a l 9i N k Y
langamma	l au N k a m a
langanesi	l au N k a n E s I
langanir	l au N k a n I r
langan	l au N k a n
langar	l au N k a r
langasjó	l au N k a s j ou
langavitleysa	l au N k a v I h t l ei s a
langá	l au N k au
langbesta	l au N k p E s t a
langbesti	l au N k p E s t I
langbest	l au N k p E s t
langdregið	l au N t r ei j I D
langdregin	l au N t r ei j I n
langdrægu	l au N k t r ai G Y
langdvölum	l au N k t v 9 l Y m
langflestar	l au N k f l E s t a r
langflestir	l au N k f l E s t I r
langflest	l au N k f l E s t
langflestum	l au N k f l E s t Y m
langframa	l au N k f r a m a
langhlauparar	l au N k l_0 9i p a r a r
langhlaup	l au N k l_0 9i p
langholti	l au N k h O l_0 t I
langholtskirkja	l au N k h O l_0 t s c_h I r_0 c a
langholtskirkju	l au N k h O l_0 t s c_h I r_0 c Y
langholtssafnaðar	l au N k h O l_0 t s a p n a D a r
langi	l au J c I
langinn	l au J c I n
langir	l au J c I r
langisjór	l au J c I s j ou r
langisvíri	l au J c I s v i r I
langjökul	l au J c 9 k Y l
langkeyrslu	l au J c_h ei r_0 s t l Y
lang	l au N k
langleiðina	l au N k l ei D I n a
langlífi	l au N k l i v I
langloka	l au N k l O k a
langloku	l au N k l O k Y
langlúra	l au N k l u r a
langmest	l au N k m E s t
langmestu	l au N k m E s t Y
langra	l au N k r a
langrar	l au N k r a r
langri	l au N k r I
langsamlega	l au N k s a m l E G a
langskemmtilegast	l au N k s c E m_0 t I l E G a s t
langskip	l au N k s c I p
langs	l au N s
langsokkur	l au N k s O h k Y r
langsótt	l au N k s ou h t
langstærsta	l au N k s t ai r_0 s t a
langstærsti	l au N k s t ai r_0 s t I
langstærstur	l au N k s t ai r_0 s t Y r
langstökki	l au N k s t 9 h c I
langstökkinu	l au N k s t 9 h c I n Y
langtímaáhrif	l au N t_h i m a au r_0 I f
langtímaáætlun	l au N k t_h i m a au ai h t l Y n
langtíma	l au N k t_h i m a
langtímum	l au N t_h i m Y m
langtum	l au N_0 t Y m
language	l a N k v E t s
languages	l a N k v E t s E s
langvarandi	l au N k v a r a n t I
langveginn	l au N k v ei j I n
langveikra	l au N k v ei k r a
langveikum	l au N k v ei k Y m
langvinn	l au N k v I n
langyngst	l au J c i N s t
langþráð	l au N k T r au D
langömmubörnin	l au N k 9 m Y p 9 r t n I n
langömmu	l au N k 9 m Y
lanka	l a N_0 k a
lappirnar	l a h p I r t n a r
lapplander	l a h p l a n t E r
lara	l a: r a
larger	l a r t s E r
largest	l a r t s E s t
larry	l a r i
larsen	l a r_0 s E n
lars	l a r_0 s
larsson	l a r_0 s O n
laser	l ei: s E r
las	l a: s
lasse	l a s E
last	l a s t
latabæ	l a: t a p ai
late	l ei: t
later	l ei: t E r
latest	l ei: t E s t
latin	l a t I n
latínu	l a: t i n Y
latneskt	l a h t n E s t
latte	l a h t E
laufási	l 9i: v au s I
laufásvegi	l 9i: v au s v ei j I
laufásveg	l 9i: v au s v E G
laufengi	l 9i: v ei J c I
laufeyjar	l 9i: v ei j a r
laufeyju	l 9i: v ei j Y
laufey	l 9i: v ei
laufferjum	l 9i f E r j Y m
laufi	l 9i: v I
laufskálinn	l 9i f s k au l I n
laufþekjuna	l 9i f T E c Y n a
laugarásbíó	l 9i: G a r au s p i j ou
laugarásvegi	l 9i: G a r au s v ei j I
laugardaga	l 9i: G a r_0 t a G a
laugardaginn	l 9i: G a r_0 t ai j I n
laugardag	l 9i: G a r_0 t a G
laugardagsgangan	l 9i: G a r t a x s k au N k a n
laugardagsins	l 9i: G a r t a x s I n s
laugardagskvöldið	l 9i: G a r t a x s k_h v 9 l t I D
laugardagskvöld	l 9i: G a r t a x s k_h v 9 l t
laugardags	l 9i: G a r t a x s
laugardagslíf	l 9i: G a r t a x s t l i v
laugardagsmorgni	l 9i: G a r t a x s m O r t n I
laugardagsmorgnum	l 9i: G a r t a x s m O r t n Y m
laugardagsmorgun	l 9i: G a r t a x s m O r k Y n
laugardagurinn	l 9i: G a r t a G Y r I n
laugardal	l 9i: G a r t a l
laugardalnum	l 9i: G a r t a l n Y m
laugardalshöllinni	l 9i: G a r_0 t a l s h 9 t l I n I
laugardalshöll	l 9i: G a r t a l s h 9 t l_0
laugardalslaugin	l 9i: G a r t a l s t l 9i j I n
laugardalslaug	l 9i: G a r_0 t a l s t l 9i G
laugardalsvelli	l 9i: G a r_0 t a l s v E t l I
laugardalsvellinum	l 9i: G a r_0 t a l s v E t l I n Y m
laugardegi	l 9i: G a r_0 t ei j I
laugardeginum	l 9i: G a r t ei j I n Y m
laugardögum	l 9i: G a r_0 t 9 G Y m
laugar	l 9i: G a r
laugarneskirkju	l 9i: G a r n E s c_h I r_0 c Y
laugarnes	l 9i: G a r n E s
laugarnesskóla	l 9i: G a r n E s k ou l a
laugarnestanga	l 9i: G a r n E s t_h au N k a
laugarnesvegi	l 9i: G a r n E s v ei j I
laugarvatni	l 9i: G a r v a h t n I
laugarvatn	l 9i: G a r v a h t n_0
laugavegi	l 9i: G a v ei j I
laugaveginn	l 9i: G a v ei j I n
laugaveginum	l 9i: G a v ei j I n Y m
laugaveg	l 9i: G a v E G
laugavegur	l 9i: G a v E G Y r
laugina	l 9i j I n a
laugin	l 9i: j I n
lauginni	l 9i j I n I
laugum	l 9i: G Y m
lauk	l 9i: k
laukrétt	l 9i: k r j E h t
laukur	l 9i: k Y r
laumast	l 9i: m a s t
launað	l 9i: n a D
launafólki	l 9i: n a f ou l_0 c I
launafólk	l 9i: n a f ou l_0 k
launafólks	l 9i: n a f ou l_0 k s
launagreiðslum	l 9i: n a k r ei D s t l Y m
launagreiðslur	l 9i: n a k r ei D s t l Y r
launahækkana	l 9i: n a h ai h k a n a
launahækkanir	l 9i: n a h ai h k a n I r
launahækkunum	l 9i: n a h ai h k Y n Y m
launakerfi	l 9i: n a c_h E r v I
launakjör	l 9i: n a c_h 9 r
launakjörum	l 9i: n a c_h 9 r Y m
launakostnaði	l 9i: n a k_h O s t n a D I
launakostnað	l 9i: n a k_h O s t n a D
launakostnaður	l 9i: n a k_h O s t n a D Y r
launakröfur	l 9i: n a k_h r 9 v Y r
launa	l 9i: n a
launalaust	l 9i: n a l 9i s t
launalækkun	l 9i: n a l ai h k Y n
launamanna	l 9i: n a m a n a
launamál	l 9i: n a m au l
launamenn	l 9i: n a m E n
launamun	l 9i: n a m Y n
launamunur	l 9i: n a m Y n Y r
launanefndar	l 9i: n a n E m t a r
launaskrá	l 9i: n a s k r au
launatapið	l 9i: n a t_h a p I D
launatekjur	l 9i: n a t_h E c Y r
launatengd	l 9i: n a t_h ei N t
launavísitölu	l 9i: n a v i s I t_h 9 l Y
launaþróun	l 9i: n a T r ou Y n
launcher	l O n t s E r
launin	l 9i: n I n
launkofa	l 9i N k_h O v a
launuð	l 9i: n Y D
launuðu	l 9i: n Y D Y
launum	l 9i: n Y m
launungarmál	l 9i: n u N k a r m au l
laununum	l 9i: n O n Y m
launþega	l 9i n T E G a
launþegar	l 9i n T E G a r
launþegum	l 9i n T E G Y m
laupana	l 9i: p a n a
laura	l O: r a
lauren	l O: r E n
laurent	l O: r E n_0 t
lausafé	l 9i: s a f j E
lausafjárkaup	l 9i: s a f j au r_0 k_h 9i p
lausafjárstöðu	l 9i: s a f j au r_0 s t 9 D Y
lausa	l 9i: s a
lausan	l 9i: s a n
lausar	l 9i: s a r
lausir	l 9i: s I r
lauslega	l 9i s t l E G a
lauslegt	l 9i: s t l E x t
lausna	l 9i s t n a
lausnar	l 9i s t n a r
lausnina	l 9i s t n I n a
lausnin	l 9i s t n I n
lausnir	l 9i s t n I r
lausn	l 9i s t n_0
lausnum	l 9i s t n Y m
laust	l 9i s t
lausu	l 9i: s Y
lausum	l 9i: s Y m
laut	l 9i: t
lava	l a: v a
lavrov	l a v r O v
law	l O:
lawrence	l O: r E n s
laws	l O: s
laxa	l a k s a
laxar	l a k s a r
laxastofna	l a k s a s t O p n a
laxá	l a k s au
laxárdal	l a k s au r t a l
laxár	l a k s au r
laxdal	l a k s t a l
laxeldi	l a k s E l t I
laxi	l a k s I
laxinn	l a k s I n
laxinum	l a k s I n Y m
lax	l a k s
laxness	l a k s t n E s
laxveiði	l a k s v ei D I
lay	l ei:
lazer	l ei: s E r
láðist	l au: D I s t
láðst	l au D s t
lágafellskirkju	l au: G a f E l s c_h I r_0 c Y
lágafellsskóla	l au: G a f E l s k ou l a
lágafellssóknar	l au: G a f E l s ou h k n a r
lága	l au: G a
lágar	l au: G a r
lágir	l au: j I r
lág	l au: G
láglendi	l au G l E n t I
lágmarka	l au: G m a r_0 k a
lágmarki	l au G m a r_0 c I
lágmark	l au G m a r_0 k
lágmarkskröfur	l au G m a r_0 k s k_h r 9 v Y r
lágmarks	l au G m a r_0 k s
lágmarkslaun	l au G m a r_0 k s t l 9i n
lágmarkslaunum	l au G m a r_0 k s t l 9i n Y m
lágmæltur	l au: G m ai l_0 t Y r
lágt	l au x t
lágu	l au: G Y
lágum	l au: Y m
lágur	l au: G Y r
lá	l au:
lánaða	l au: n a D a
lánaðan	l au: n a D a n
lánaði	l au: n a D I
lánað	l au: n a D
lánaður	l au: n a D Y r
lánafyrirgreiðslu	l au: n a f I r I r k r ei D s t l Y
lána	l au: n a
lánanna	l au: n a n a
lánardrottna	l au: n a r t r O h t n a
lánardrottnar	l au: n a r t r O h t n a r
lánar	l au: n a r
lánasamninga	l au: n a s a m n i N k a
lánasamsetningu	l au: n a s a m s E h t n i N k Y
lánasjóði	l au: n a s j ou D I
lánasjóð	l au: n a s j ou D
lánasjóðsins	l au: n a s j ou D s I n s
lánasjóðs	l au: n a s j ou D s
lánasjóður	l au: n a s j ou D Y r
lánastarfsemi	l au: n a s t a r f s E m I
lánastofnana	l au: n a s t O p n a n a
lánastofnanir	l au: n a s t O p n a n I r
lánastofnunum	l au: n a s t O p n Y n Y m
lánið	l au: n I D
láni	l au: n I
lánin	l au: n I n
láninu	l au: n I n Y
lán	l au: n
lánsamur	l au n s a m Y r
lánsfé	l au n s f j E
lánsfjáráætlun	l au n s f j au r au ai h t l Y n
lánsfjár	l au n s f j au r
lánshæfi	l au n s h ai v I
lánshæfiseinkunn	l au n s h ai v I s ei N_0 k Y n
lánshæfismat	l au n s h ai v I s m a t
lánsins	l au n s I n s
lánskjaravísitölu	l au n s c_h a r a v i s I t_h 9 l Y
lánskjör	l au n s c_h 9 r
láns	l au n s
lánsmaður	l au n s m a D Y r
lánssamninga	l au n s a m n i N k a
lánssamningi	l au n s a m n i J c I
lánssamning	l au n s a m n i N k
lánssamningnum	l au n s a m n i N k n Y m
lánssamningsins	l au n s a m n i N s I n s
lánssamningur	l au n s a m n i N k Y r
lánstíma	l au n s t_h i m a
lánsöm	l au n s 9 m
lántaka	l au n t_h a k a
lántakenda	l au n t_h a k E n t a
lántakendur	l au n t_h a c E n t Y r
lántaki	l au n t_h a c I
lántöku	l au n t_h 9 k Y
lántökum	l au n t_h 9 k Y m
lántökur	l au n t_h 9 k Y r
lánuðu	l au: n Y D Y
lánum	l au: n Y m
lánunum	l au: n O n Y m
lánveitanda	l au n v ei t a n t a
lánveitandi	l au n v ei t a n t I
lánveitendur	l au n v ei t E n t Y r
lánveitinga	l au n v ei t i N k a
lánveitingar	l au n v ei t i N k a r
lánveitingu	l au n v ei t i N k Y
lánveitingum	l au n v ei t i N k Y m
lánþega	l au n T E G a
lára	l au: r a
láru	l au: r Y
lárusar	l au: r Y s a r
lárusdóttir	l au: r Y s t ou h t I r
lárusdóttur	l au: r Y s t ou h t Y r
lárusi	l au: r Y s I
lárus	l au: r Y s
lárussonar	l au: r Y s O n a r
lárusson	l au: r Y s O n
lárussyni	l au: r Y s I n I
lás	l au: s
lásu	l au: s Y
láta	l au: t a
látið	l au: t I D
láti	l au: t I
látin	l au: t I n
látinna	l au: t I n a
látinn	l au: t I n
látist	l au: t I s t
látlausan	l au t l 9i s a n
látlausar	l au t l 9i s a r
látlaus	l au t l 9i s
látlaust	l au: t l 9i s t
látlausum	l au: t l 9i s Y m
lát	l au: t
látna	l au h t n a
látnar	l au h t n a r
látni	l au h t n I
látnir	l au h t n I r
látnu	l au h t n Y
látnum	l au h t n Y m
láttu	l au h t Y
látum	l au: t Y m
látæði	l au: t ai D I
lávarður	l au: v a r D Y r
lbhí	E t l p j E h au i
lbi	E t l_0 p j E: i:
leader	l i: t E r
leadership	l i: t E r_0 s j I p
leaders	l i: t E r_0 s
leading	l i: t i N
lead	l i: t
leaf	l i: f
league	l i: k
learning	l 9 r n i N
learn	l 9 r n
lease	l i: s
leasing	l i: s i N
least	l i s t
leave	l i: v
leaves	l i: v s
leaving	l i: v i N
lebron	l E p r O n
led	l E t
leðurblöðkumynd	l E: D Y r_0 p l 9 T k Y m I n t
leðurblökuungi	l E: D Y r_0 p l 9 k Y u J c I
leðurhúfan	l E: D Y r_0 h u v a n
leðurjakkanum	l E: D Y r j a h k a n Y m
leður	l E: D Y r
leðurpakki	l E: D Y r_0 p_h a h c I
leðursófa	l E: D Y r_0 s ou f a
leðursófana	l E: D Y r_0 s ou f a n a
leðursófann	l E: D Y r_0 s ou f a n
leðursófanum	l E: D Y r_0 s ou f a n Y m
leðursófar	l E: D Y r_0 s ou f a r
leðursófi	l E: D Y r_0 s ou f I
leðursófinn	l E: D Y r_0 s ou f I n
leðursófum	l E: D Y r_0 s ou f Y m
leeds	l i t s
lee	l i:
left	l E f t
legacy	l E k a s i
legal	l i: k a l
legáta	l E: k au t a
legði	l E G D I
legðu	l E G D Y
legend	l E t s E n t
legends	l E t s E n t s
leggangaopið	l E G k au N k a O p I D
leggðu	l E G D Y
leggið	l E c I D
leggi	l E c I
leggina	l E c I n a
legginn	l E c I n
leggist	l E c I s t
leggjast	l E c a s t
leggjum	l E c Y m
leggjunum	l E c O n Y m
legg	l E k
leggst	l E k s t
leggurðu	l E k Y r D Y
leggur	l E k Y r
leggöngin	l E G k 9i J c I n
leggöng	l E G k 9i N k
legið	l ei j I D
leginu	l ei j I n Y
leginum	l ei j I n Y m
legíónanna	l E: c i j ou n a n a
legíónir	l E: c i j ou n I r
leg	l E k
legokubba	l E: k ou k_h Y p a
legokubbum	l E: k ou k_h Y p Y m
legokubbunum	l E: k ou k_h Y p O n Y m
legokubburinn	l E: k ou k Y p Y r I n
legokubbur	l E: k ou k_h Y p Y r
legoland	l E: k ou l a n t
lego	l E: k ou
legókubba	l E: k ou k_h Y p a
legókubbar	l E: k ou k_h Y p a r
legókubbi	l E: k ou k_h Y p I
legókubb	l E: k ou k_h Y p
legókubbum	l E: k ou k_h Y p Y m
